mdbId,Name,Contact_URL
1043330,Abdi, Sanae,https://www.bundestag.de/services/formular/contactform?mdbId=1043330
1043342,Abraham, Knut,https://www.bundestag.de/services/formular/contactform?mdbId=1043342
1043346,Achelwilm, Doris,https://www.bundestag.de/services/formular/contactform?mdbId=1043346
1043358,Aeikens, Anna,https://www.bundestag.de/services/formular/contactform?mdbId=1043358
1043370,Ahmetović, Adis,https://www.bundestag.de/services/formular/contactform?mdbId=1043370
1043376,Akbulut, Gökay,https://www.bundestag.de/services/formular/contactform?mdbId=1043376
1043380,Aken, Jan van,https://www.bundestag.de/services/formular/contactform?mdbId=1043380
1043422,Al-Wazir, Tarek,https://www.bundestag.de/services/formular/contactform?mdbId=1043422
1043386,Alabali Radovan, Reem,https://www.bundestag.de/services/formular/contactform?mdbId=1043386
1043390,Albani, Stephan,https://www.bundestag.de/services/formular/contactform?mdbId=1043390
1043402,Alhamwi, Dr. Alaa,https://www.bundestag.de/services/formular/contactform?mdbId=1043402
1043416,Altenkamp, Norbert Maria,https://www.bundestag.de/services/formular/contactform?mdbId=1043416
