name,mdbId,fraktion,contact_url
"Abdi, Sanae",1043330,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043330
"Abraham, Knut",1043342,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043342
"Achelwilm, Doris",1043346,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043346
"Aeikens, Anna",1043358,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043358
"Ahmetović, Adis",1043370,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043370
"Akbulut, Gökay",1043376,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043376
"Aken, Jan van",1043380,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043380
"Al-Wazir, Tarek",1043422,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043422
"Alabali Radovan, Reem",1043386,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043386
"Albani, Stephan",1043390,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043390
"Alhamwi, Dr. Alaa",1043402,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043402
"Altenkamp, Norbert Maria",1043416,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043416
"Amthor, Philipp",1043428,,https://www.bundestag.de/services/formular/contactform?mdbId=1043428
"Amtsberg, Luise",1043430,,https://www.bundestag.de/services/formular/contactform?mdbId=1043430
"Arndt, Dr. Michael",1043446,,https://www.bundestag.de/services/formular/contactform?mdbId=1043446
"Arpaschi, Alexander",1043452,,https://www.bundestag.de/services/formular/contactform?mdbId=1043452
"Asar, Ayse",1043460,,https://www.bundestag.de/services/formular/contactform?mdbId=1043460
"Asghari, Prof. Dr. Reza",1086638,,https://www.bundestag.de/services/formular/contactform?mdbId=1086638
"Ataoğlu, Tijen",1043470,,https://www.bundestag.de/services/formular/contactform?mdbId=1043470
"Audretsch, Andreas",1043476,,https://www.bundestag.de/services/formular/contactform?mdbId=1043476
"Auernhammer, Artur",1048348,,https://www.bundestag.de/services/formular/contactform?mdbId=1048348
"Aumer, Peter",1048350,,https://www.bundestag.de/services/formular/contactform?mdbId=1048350
"Babendererde, Dr. Cornell-Anette",1043496,,https://www.bundestag.de/services/formular/contactform?mdbId=1043496
"Bachmann, Carolin",1043502,,https://www.bundestag.de/services/formular/contactform?mdbId=1043502
"Badum, Lisa",1043506,,https://www.bundestag.de/services/formular/contactform?mdbId=1043506
"Baerbock, Annalena",1043508,,https://www.bundestag.de/services/formular/contactform?mdbId=1043508
"Baldy, Daniel",1043516,,https://www.bundestag.de/services/formular/contactform?mdbId=1043516
"Balten, Adam",1043518,,https://www.bundestag.de/services/formular/contactform?mdbId=1043518
"Banaszak, Felix",1043522,,https://www.bundestag.de/services/formular/contactform?mdbId=1043522
"Bareiß, Thomas",1048368,,https://www.bundestag.de/services/formular/contactform?mdbId=1048368
"Bartol, Sören",1043546,,https://www.bundestag.de/services/formular/contactform?mdbId=1043546
"Bartsch, Dr. Dietmar",1043548,,https://www.bundestag.de/services/formular/contactform?mdbId=1043548
"Bas, Bärbel",1043554,,https://www.bundestag.de/services/formular/contactform?mdbId=1043554
"Bauer, Marcel",1043562,,https://www.bundestag.de/services/formular/contactform?mdbId=1043562
"Baum, Dr. Christina",1048376,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1048376
"Baumann, Dr. Bernd",1043568,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043568
"Baumgartner, Günter",1043570,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043570
"Beck, Katharina",1043580,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043580
"Becker, Carsten",1043590,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043590
"Becker, Desiree",1043592,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043592
"Beek, Sascha van",1043614,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043614
"Behrens, Jens",1043618,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043618
"Benner, Lukas",1043648,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043648
"Bernhard, Marc",1043678,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043678
"Bernstein, Melanie",1043686,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043686
"Bessin, Birgit",1048412,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1048412
"Bettermann, Daniel",1043690,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043690
"Beutin, Lorenz Gösta",1043694,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043694
"Beyer, Peter",1043696,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043696
"Biadacz, Marc",1048416,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048416
"Bilger, Steffen",1048434,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048434
"Bilic, Florian",1043708,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043708
"Birghan, Dr. Christoph",1043712,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043712
"Blankenburg, Jakob",1043716,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043716
"Bleck, Andreas",1043722,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043722
"Bloch, Joachim",1043728,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043728
"Blos, Dr. Michael",1043730,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043730
"Bochmann, René",1043736,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043736
"Bock, Violetta",1043738,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043738
"Bodin, Leif Erik",1043740,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043740
"Boehringer, Peter",1043742,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043742
"Bohnhof, Peter",1043750,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043750
"Bollmann, Gereon",1043754,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043754
"Bollmann, Hendrik",1043756,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043756
"Borchardt, Simone",1043764,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043764
"Bosbach, Caroline",1043774,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043774
"Bosch, Jorrit",1043776,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043776
"Bouffier, Frederik",1043786,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043786
"Braga, Torben",1043788,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043788
"Brand (Fulda), Michael",1043790,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043790
"Brandes, Dirk",1043794,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043794
"Brandl, Dr. Reinhard",1048450,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048450
"Brandner, Stephan",1043798,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043798
"Brantner, Dr. Franziska",1043804,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043804
"Breher, Silvia",1043814,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043814
"Bremer, Anne-Mieke",1043820,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043820
"Brinkhaus, Ralph",1048460,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048460
"Brinkmann, Lutz",1043826,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043826
"Brodesser, Dr. Carsten",1043834,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043834
"Broßart, Victoria",1043840,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043840
"Brucker, Erhard",1043846,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043846
"Brugger, Agnieszka",1043850,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043850
"Bröhr, Dr. Marlon",1043836,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043836
"Brückner, Maik",1043848,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043848
"Bury, Dr. Yannick",1048484,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048484
"Bär, Dorothee",1043526,,https://www.bundestag.de/services/formular/contactform?mdbId=1043526
"Bär, Karl",1043528,,https://www.bundestag.de/services/formular/contactform?mdbId=1043528
"Böttger, Janina",1043784,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043784
"Büdenbender, Benedikt",1043872,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043872
"Bühl, Marcus",1048474,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1048474
"Bünger, Clara",1043894,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043894
"Cademartori, Isabel",1043926,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043926
"Carstensen, Sandra",1043934,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043934
"Castellucci, Prof. Dr. Lars",1043938,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043938
"Cezanne, Jörg",1043940,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043940
"Chrupalla, Tino",1043948,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043948
"Connemann, Gitta",1043962,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1043962
"Conrad, Agnes",1043964,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1043964
"Coße, Jürgen",1043972,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1043972
"Curio, Dr. Gottfried",1043982,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1043982
"Dahler, Wolfgang",1048508,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048508
"Dahmen, Dr. Janosch",1043990,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1043990
"Demir, Hakan",1044016,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044016
"Demuth, Ellen",1044020,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044020
"Detzer, Dr. Sandra",1044030,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044030
"Dieren, Jan",1044048,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044048
"Dietz, Thomas",1048516,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1048516
"Dilcher, Esther",1044056,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044056
"Dillschneider, Jeanne",1044058,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044058
"Dittmar, Sabine",1044066,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044066
"Dobrindt, Alexander",1044072,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044072
"Donth, Michael",1048526,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048526
"Dorn, Dr. Florian",1048528,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048528
"Douglas, Christian",1044090,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044090
"Droßmann, Falko",1044108,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044108
"Dröge, Katharina",1044100,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044100
"Drößler, Christopher",1044106,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044106
"Durz, Hansjörg",1048536,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048536
"Dzienus, Timon",1044128,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044128
"Döring, Felix",1044088,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044088
"Düber, Dr. Hülya",1044112,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044112
"Düring, Deborah",1044118,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044118
